state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
TOTAL (STATES),OTHER RAPE,1240,10,16826,375,8462,383,2570,125,144,8,29242,901,30143
A & N ISLANDS,OTHER RAPE,0,0,11,1,4,1,0,0,0,0,15,2,17
CHANDIGARH,OTHER RAPE,3,0,21,0,7,1,2,0,0,0,33,1,34
D & N HAVELI,OTHER RAPE,0,0,4,0,1,0,0,0,0,0,5,0,5
DAMAN & DIU,OTHER RAPE,0,0,8,1,0,0,1,0,0,0,9,1,10
DELHI,OTHER RAPE,62,1,549,21,207,19,25,3,5,0,848,44,892
LAKSHADWEEP,OTHER RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,OTHER RAPE,0,0,12,0,3,0,0,0,0,0,15,0,15
TOTAL (UTs),OTHER RAPE,65,1,605,23,222,21,28,3,5,0,925,48,973
TOTAL (ALL-INDIA),OTHER RAPE,1305,11,17431,398,8684,404,2598,128,149,8,30167,949,31116
ANDHRA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",69,3,1402,69,704,65,207,20,15,1,2397,158,2555
