state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
Jharkhand,ZZ TOTAL,2013,1,15,7,0,0,1,71,0,195,106
Karnataka,BAGALKOT,2013,2,0,0,0,0,0,0,0,11,11
Karnataka,BANGALORE COMMR.,2013,0,0,0,0,0,0,1,0,8,0
Karnataka,BANGALORE RURAL,2013,0,0,0,0,0,0,6,0,13,7
Karnataka,BELGAUM,2013,0,1,0,0,0,0,0,0,10,0
Karnataka,BELLARY,2013,0,0,0,0,0,0,0,0,17,0
Karnataka,BIDAR,2013,0,0,0,0,0,0,0,0,1,0
Karnataka,BIJAPUR,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,CBPURA,2013,0,2,0,0,0,0,0,0,13,11
Karnataka,CHAMARAJNAGAR,2013,0,0,0,0,0,0,0,0,6,6
Karnataka,CHICKMAGALUR,2013,0,0,0,0,0,0,0,0,1,1
Karnataka,CHITRADURGA,2013,0,2,0,0,0,0,3,0,6,3
Karnataka,DAKSHIN KANNADA,2013,0,1,0,0,0,0,0,0,12,0
Karnataka,DAVANAGERE,2013,0,1,1,0,0,0,5,0,20,16
Karnataka,DHARWAD COMMR.,2013,0,1,0,0,0,0,0,0,8,8
Karnataka,DHARWAD RURAL,2013,0,0,0,0,0,0,0,0,7,7
Karnataka,GADAG,2013,0,0,0,0,0,0,0,0,2,2
Karnataka,GULBARGA,2013,0,0,0,0,0,0,6,0,0,0
Karnataka,HASSAN,2013,0,0,0,0,0,0,0,0,2,2
Karnataka,HAVERI,2013,0,0,0,0,0,0,14,0,14,0
Karnataka,K.G.F.,2013,0,0,0,0,0,0,3,0,4,1
Karnataka,KODAGU,2013,1,4,0,0,0,0,0,0,6,0
Karnataka,KOLAR,2013,0,0,0,0,0,0,0,0,10,10
Karnataka,KOPPAL,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,MANDYA,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,MANGALORE CITY,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,MYSORE COMMR.,2013,0,0,0,0,0,0,0,0,16,0
Karnataka,MYSORE RURAL,2013,0,0,0,0,0,0,0,0,43,12
Karnataka,RAICHUR,2013,1,2,1,0,0,0,0,14,25,21
Karnataka,RAILWAYS,2013,0,0,0,0,0,0,0,0,0,0
Karnataka,RAMANAGAR,2013,0,0,0,0,0,0,0,0,2,2
Karnataka,SHIMOGA,2013,0,0,0,0,0,0,0,0,3,3
Karnataka,TUMKUR,2013,1,3,0,0,0,0,5,0,16,8
Karnataka,UDUPI,2013,0,2,0,0,0,0,2,0,10,6
Karnataka,UTTAR KANNADA,2013,0,0,0,0,0,0,0,0,0,10
Karnataka,YADGIRI,2013,0,0,0,0,0,0,0,0,17,0
Karnataka,ZZ TOTAL,2013,5,19,2,0,0,0,45,14,303,147
Kerala,ALAPUZHA,2013,0,0,0,0,0,0,1,0,0,0
Kerala,ERNAKULAM COMMR.,2013,0,0,0,0,0,0,0,0,0,0
Kerala,ERNAKULAM RURAL,2013,0,1,0,0,0,0,0,0,0,0
Kerala,IDUKKI,2013,0,6,0,0,0,0,4,0,0,6
Kerala,KANNUR,2013,0,6,0,0,0,0,4,0,1,2
Kerala,KASARGOD,2013,0,11,0,0,0,0,5,0,0,8
Kerala,KOLLAM COMMR.,2013,0,0,0,0,0,0,0,0,0,0
Kerala,KOLLAM RURAL,2013,0,0,0,0,0,0,0,0,0,0
Kerala,KOTTAYAM,2013,0,0,0,0,0,0,0,0,2,7
Kerala,KOZHIKODE COMMR.,2013,0,0,0,0,0,0,1,0,0,2
Kerala,KOZHIKODE RURAL,2013,0,2,0,0,0,0,3,0,0,2
Kerala,MALAPPURAM,2013,0,1,0,0,0,0,0,0,0,5
Kerala,PALAKKAD,2013,0,4,1,0,0,0,2,0,1,8
Kerala,PATHANAMTHITTA,2013,0,0,0,0,0,0,0,0,0,1
