state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
TRIPURA,2004,20,29,132,168,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,34,77,27,46,166,260
UTTAR PRADESH,2004,164,294,3878,6526,78,1312,17,4216,0,3,0,0,14,40,1,1970,2,6,0,0,20,55,327,480,100,896,1076,9332,378,2606,5299,22524
UTTARAKHAND,2004,16,28,339,469,6,54,0,47,0,0,0,0,0,0,0,54,2,1,0,0,1,2,136,143,12,80,91,884,37,165,566,1597
WEST BENGAL,2004,84,102,341,7044,26,55,0,65,0,0,0,0,9,24,0,394,7,2,0,0,32,66,31,865,54,286,175,6097,212,535,547,14465
TOTAL (STATES),2004,2304,3123,59771,71131,965,4408,142,7499,8,12,1,164,146,460,91,12689,69,102,329,345,349,961,13842,21920,1437,8918,16041,138022,5278,17984,90217,251770
A & N ISLANDS,2004,0,1,47,20,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,15,9,0,1,5,68,0,3,69,103
CHANDIGARH,2004,0,0,122,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,135,0,6,1,939,0,6,186,1459
D & N HAVELI,2004,3,1,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,13,0,0,3,16,3,2,20,53
DAMAN & DIU,2004,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,21,6,0,0,0,20,0,1,35,27
DELHI,2004,16,95,1301,4877,0,6,0,318,0,0,0,0,1,4,3,1063,0,0,0,0,9,38,293,2981,4,318,278,9755,30,461,1875,18994
