state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
A&N Islands,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,"Essential Commodities Act, 1955",0,0,2,0,2,0,3,0,0,0,7,0,7
D&N Haveli,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"Essential Commodities Act, 1955",0,0,6,2,10,3,1,0,0,0,17,5,22
Lakshadweep,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"Essential Commodities Act, 1955",0,0,15,0,19,2,11,0,0,0,45,2,47
Total (UTs),"Essential Commodities Act, 1955",0,0,23,2,31,5,15,0,0,0,69,7,76
Total (All-India),"Essential Commodities Act, 1955",16,0,2778,15,3453,42,1386,9,113,8,7746,74,7820
Andhra Pradesh,Excise Act,1,0,3205,160,4221,387,1422,193,174,21,9023,761,9784
Arunachal Pradesh,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Excise Act,0,0,2,0,12,0,1,0,0,0,15,0,15
Bihar,Excise Act,38,10,1353,53,1178,31,1216,33,27,0,3812,127,3939
Chhattisgarh,Excise Act,36,0,5381,190,6076,348,2558,126,191,9,14242,673,14915
Goa,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Excise Act,50,0,9285,3,10270,2,3235,0,337,0,23177,5,23182
Himachal Pradesh,Excise Act,0,0,223,6,310,43,154,19,20,1,707,69,776
Jammu & Kashmir,Excise Act,0,0,185,3,251,13,84,5,3,0,523,21,544
Jharkhand,Excise Act,0,0,194,0,255,0,99,0,3,0,551,0,551
Karnataka,Excise Act,1,0,1323,50,1803,52,1020,49,67,5,4214,156,4370
Kerala,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Excise Act,122,8,23453,710,18189,1325,7030,487,658,48,49452,2578,52030
Maharashtra,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Excise Act,0,0,2,0,0,0,0,0,0,0,2,0,2
Nagaland,Excise Act,0,0,17,4,15,4,1,0,0,0,33,8,41
Odisha,Excise Act,5,0,3851,104,4559,328,2302,111,206,2,10923,545,11468
Punjab,Excise Act,4,0,2567,286,2657,348,1233,93,12,0,6473,727,7200
Rajasthan,Excise Act,32,0,5708,116,5039,207,1979,46,219,17,12977,386,13363
Sikkim,Excise Act,0,0,41,5,53,10,11,0,0,0,105,15,120
Tamil Nadu,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Excise Act,8,0,17541,213,11347,369,4502,75,154,14,33552,671,34223
Uttarakhand,Excise Act,0,0,530,12,996,14,680,10,18,2,2224,38,2262
West Bengal,Excise Act,2,0,836,36,1246,62,328,24,3,0,2415,122,2537
Total (State),Excise Act,299,18,75697,1951,68477,3543,27855,1271,2092,119,174420,6902,181322
A&N Islands,Excise Act,0,0,380,10,720,78,492,91,105,37,1697,216,1913
Chandigarh,Excise Act,1,0,384,13,267,9,31,3,0,0,683,25,708
D&N Haveli,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Excise Act,10,0,1025,29,744,122,159,22,9,2,1947,175,2122
Lakshadweep,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0
