area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Maharashtra,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,12,5,1,1,0,21,0,0,9,0,1,0,10
Manipur,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,3,0,0,3,0,7,0,0,0,0,0,0,0
Puducherry,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,0,0,0,0,0,1,2,0,7,0,0,2,11
Rajasthan,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,2,0,0,0,4,0,0,1,0,0,0,1
Sikkim,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,2,0,0,0,3,0,0,2,0,0,0,2
Uttarakhand,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,48,7,3,3,0,63,0,1,3,0,0,0,4
Andaman & Nicobar Islands,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,4,4,0,0,0,8,0,0,3,0,1,0,4
Arunachal Pradesh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Bihar,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,0,0,0,0,1,0,0,0,1,2,0,3
Chandigarh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,1,0,2,0,3,1,0,0,0,1,0,2
Dadra & Nagar Haveli,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,6,2,0,0,0,8,0,0,3,0,0,0,3
Goa,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,7,2,0,0,0,9,2,0,8,0,0,0,10
Haryana,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,3,3,2,0,0,0,8,1,0,9,0,0,0,10
Himachal Pradesh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,2,0,3,0,5,0,0,0,0,4,0,4
Jharkhand,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Karnataka,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,8,4,5,0,0,18,0,0,1,0,0,0,1
Kerala,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,3,3,2,0,0,0,8,0,0,0,0,0,0,0
Lakshadweep,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,11,6,1,0,0,0,18,0,0,1,0,0,0,1
